Rank,Release Group,Worldwide,Domestic,%,Foreign,%
71,Benden Ne Olur,"$639,014",-,-,"$639,014",100%
72,Undercover,"$638,930",-,-,"$638,930",100%
73,Kaptan Pengu ve Arkadaslari 2,"$588,502",-,-,"$588,502",100%
74,Bangarraju,"$534,735",-,-,"$534,735",100%
75,Lynx,"$531,572",-,-,"$531,572",100%
76,The Chef,"$416,658",-,-,"$416,658",100%
77,Last Looks,"$412,107",-,-,"$412,107",100%
78,Krime Story,"$390,368",-,-,"$390,368",100%
79,Emergency Situation,"$361,992",-,-,"$361,992",100%
80,The Glance of Music,"$350,503",-,-,"$350,503",100%
81,Nitram,"$344,826",-,-,"$344,826",100%
82,Den slepogo valentina,"$339,143",-,-,"$339,143",100%
83,Thunderbirds Go Go,"$331,934",-,-,"$331,934",100%
84,The Best Weekend,"$331,904",-,-,"$331,904",100%
85,Paw Patrol: Mission Xmas,"$320,402",-,-,"$320,402",100%
86,Clean,"$318,877","$318,877",100%,-,-
87,Un Rabón con Corazón,"$272,584",-,-,"$272,584",100%
88,Beyond Live Nct: Resonance,"$266,442",-,-,"$266,442",100%
89,The Sadness,"$264,927",-,-,"$264,927",100%
90,Secret Name,"$254,609",-,-,"$254,609",100%
91,Naai Sekar,"$237,861",-,-,"$237,861",100%
92,Sundown,"$228,218","$228,218",100%,-,-
93,Milosc jest blisko,"$218,953",-,-,"$218,953",100%
94,My Wonderful Wanda,"$202,048",-,-,"$202,048",100%
95,Afacanlar: Is Basa Düstü,"$194,730",-,-,"$194,730",100%
96,The Grandson,"$190,796",-,-,"$190,796",100%
97,Super Sharanya,"$187,264",-,-,"$187,264",100%
98,Jang Minho Drama,"$185,373",-,-,"$185,373",100%
99,Book of Love,"$176,671",-,-,"$176,671",100%
100,BanG Dream! Poppin'Dream!,"$175,529",-,-,"$175,529",100%
101,Rosy,"$170,246",-,-,"$170,246",100%
102,Al Gareema,"$167,833",-,-,"$167,833",100%
103,Anka,"$152,402",-,-,"$152,402",100%
104,Arthur Rambo,"$149,028",-,-,"$149,028",100%
105,Pups Alone,"$145,884",-,-,"$145,884",100%
106,Stop-Zemlia,"$143,434",-,-,"$143,434",100%
107,I Want to Talk About Duras,"$134,042",-,-,"$134,042",100%
108,Jane by Charlotte,"$133,152",-,-,"$133,152",100%
109,Gamestop: Rise of the Players,"$126,297","$126,297",100%,-,-
110,Opera Mundi: Rigoletto Experientia,"$116,354",-,-,"$116,354",100%
